2025-06-15 01:36:21.227 | INFO     | __main__:get_Z3_result:339 - Z3批量求解任务启动，待处理文件数: 449
2025-06-15 01:36:21.228 | INFO     | __main__:get_Z3_result:345 - 未求解文件数: 449
2025-06-15 01:36:21.234 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/udhcpc/udhcpc6673731
2025-06-15 01:36:21.234 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/udhcpc/udhcpc6667828
2025-06-15 01:36:21.234 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/udhcpc/udhcpc6665859
2025-06-15 01:36:21.234 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1279453
2025-06-15 01:36:21.235 | INFO     | __main__:process_z3_file:323 - [Worker] 处理异常: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/udhcpc/udhcpc6673731, 错误: [Errno 2] No such file or directory: '/home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/udhcpc/udhcpc6673731'
2025-06-15 01:36:21.235 | INFO     | __main__:process_z3_file:323 - [Worker] 处理异常: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/udhcpc/udhcpc6665859, 错误: [Errno 2] No such file or directory: '/home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/udhcpc/udhcpc6665859'
2025-06-15 01:36:21.235 | INFO     | __main__:process_z3_file:323 - [Worker] 处理异常: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/udhcpc/udhcpc6667828, 错误: [Errno 2] No such file or directory: '/home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/udhcpc/udhcpc6667828'
2025-06-15 01:36:21.234 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1210212
2025-06-15 01:36:21.234 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1457448
2025-06-15 01:36:21.234 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1511861
2025-06-15 01:36:21.235 | INFO     | __main__:process_z3_file:323 - [Worker] 处理异常: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1279453, 错误: [Errno 2] No such file or directory: '/home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1279453'
2025-06-15 01:36:21.235 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1170660
2025-06-15 01:36:21.235 | INFO     | __main__:process_z3_file:323 - [Worker] 处理异常: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1210212, 错误: [Errno 2] No such file or directory: '/home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1210212'
2025-06-15 01:36:21.235 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1180553
2025-06-15 01:36:21.234 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1477234
2025-06-15 01:36:21.235 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1185504
2025-06-15 01:36:21.235 | INFO     | __main__:process_z3_file:323 - [Worker] 处理异常: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1170660, 错误: [Errno 2] No such file or directory: '/home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1170660'
