2024-10-22 21:01:40 | INFO | gradio_web_server | args: Namespace(concurrency_count=10, controller_url='http://localhost:21001', gradio_auth_path=None, gradio_root_path=None, host='0.0.0.0', model_list_mode='once', moderate=False, port=None, register_api_endpoint_file=None, share=False, show_terms_of_use=False)
2024-10-22 21:01:40 | INFO | gradio_web_server | All models: ['vicuna-7b-v1.5-16k']
2024-10-22 21:01:40 | INFO | gradio_web_server | Visible models: ['vicuna-7b-v1.5-16k']
2024-10-22 21:01:40 | INFO | stdout | Running on local URL:  http://0.0.0.0:7860
2024-10-22 21:01:40 | INFO | stdout | 
2024-10-22 21:01:40 | INFO | stdout | To create a public link, set `share=True` in `launch()`.
2024-10-22 21:01:49 | INFO | gradio_web_server | load_demo. ip: 127.0.0.1. params: {}
2024-10-22 21:02:12 | INFO | gradio_web_server | add_text. ip: 127.0.0.1. len: 11
2024-10-22 21:02:12 | INFO | gradio_web_server | bot_response. ip: 127.0.0.1
2024-10-22 21:02:12 | INFO | gradio_web_server | monitor error: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /is_limit_reached?model=vicuna-7b-v1.5-16k&user_id=127.0.0.1 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f52f431e040>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-10-22 21:02:12 | INFO | gradio_web_server | model_name: vicuna-7b-v1.5-16k, worker_addr: http://localhost:21002
2024-10-22 21:02:12 | INFO | gradio_web_server | ==== request ====
{'model': 'vicuna-7b-v1.5-16k', 'prompt': "A chat between a curious user and an artificial intelligence assistant. The assistant gives helpful, detailed, and polite answers to the user's questions. USER: 你最多能处理多长的文本 ASSISTANT:", 'temperature': 0.7, 'repetition_penalty': 1.0, 'top_p': 1.0, 'max_new_tokens': 1024, 'stop': None, 'stop_token_ids': None, 'echo': False}
2024-10-22 21:02:21 | INFO | gradio_web_server | 我可以处理非常长的文本，但是对于一般的对话来说，我建议将文本长度保持在可读和可理解的范围内。如果您有特别长的文本，可以考虑将其拆分成多个部分进行交流。
2024-10-22 21:46:33 | INFO | gradio_web_server | add_text. ip: 127.0.0.1. len: 1265
2024-10-22 21:46:33 | INFO | gradio_web_server | bot_response. ip: 127.0.0.1
2024-10-22 21:46:33 | INFO | gradio_web_server | monitor error: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /is_limit_reached?model=vicuna-7b-v1.5-16k&user_id=127.0.0.1 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f52f431e4f0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-10-22 21:46:33 | INFO | gradio_web_server | model_name: vicuna-7b-v1.5-16k, worker_addr: http://localhost:21002
2024-10-22 21:46:33 | INFO | gradio_web_server | ==== request ====
